filename,codeNumber,codeName,shape,colorFamily,size,trimming
WhatsApp Image 2025-10-10 at 9.09.21 PM (7).jpeg,"6408 HRB","WHITE MIST OAK","","Oak","",""
WhatsApp Image 2025-10-10 at 9.09.21 PM (8).jpeg,"6406 HRB","RICH BARLEY OAK","Staggered","Oak","",""
WhatsApp Image 2025-10-10 at 9.09.21 PM (9).jpeg,"6409 HRB","","","","",""
WhatsApp Image 2025-10-10 at 9.09.21 PM.jpeg,"LD 825502","HONEY OAK","","Oak","5/0.5mm x 150mm x 900mm","S04"
WhatsApp Image 2025-10-10 at 9.14.28 PM (2).jpeg,"5601","","","","",""
WhatsApp Image 2025-10-10 at 9.14.28 PM (3).jpeg,"5604","","","","",""
WhatsApp Image 2025-10-10 at 9.14.28 PM.jpeg,"56088","","","","",""
WhatsApp Image 2025-10-10 at 9.14.29 PM (1).jpeg,"0601","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM (2).jpeg,"6303","","","","",""
WhatsApp Image 2025-10-10 at 9.16.15 PM (6).jpeg,"6301","","","","",""
WhatsApp Image 2025-10-10 at 6.48.33 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 6.49.24 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 6.49.25 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 6.49.25 PM (2).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 6.50.51 PM (2).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 6.57.49 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 6.58.44 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.00.15 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.00.47 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.03.37 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.04.55 PM (2).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.08.55 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.09.49 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.10.37 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.10.38 PM (1).jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.10.38 PM.jpeg,"","","","","",""
WhatsApp Image 2025-10-10 at 7.11.17 PM.jpeg,"","","","","",""
